ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K55210BU2435,0.167,0.109,-0.043,0.368,0.001,0.001,9487.0,2683.0,1.0
K55102BT2108,0.043,0.023,0.004,0.089,0.0,0.0,9181.0,2698.0,1.0
K55301BU6253,0.223,0.132,-0.01,0.491,0.001,0.001,9918.0,2995.0,1.0
K55301BV3044,0.098,0.119,-0.126,0.316,0.001,0.002,8762.0,2500.0,1.0
K55301BV3101,0.029,0.07,-0.1,0.157,0.001,0.001,9174.0,2681.0,1.0
K55301BV3143,0.005,0.064,-0.117,0.126,0.001,0.001,9499.0,2821.0,1.0
KR5101AT3571,0.179,0.184,-0.17,0.516,0.002,0.002,8960.0,2843.0,1.0
KR5101AT3514,0.011,0.143,-0.264,0.279,0.001,0.003,9625.0,2457.0,1.0
K55366BU9614,0.346,0.338,-0.291,0.973,0.004,0.004,8753.0,3069.0,1.0
K55235BW6799,0.206,0.3,-0.361,0.758,0.003,0.004,8405.0,2734.0,1.0
K55207BT8034,0.272,0.319,-0.302,0.908,0.003,0.005,9054.0,2320.0,1.0
K55366BU9705,0.37,0.568,-0.661,1.435,0.005,0.009,11897.0,2265.0,1.0
K55301BU6139,0.206,0.129,-0.031,0.452,0.001,0.001,9908.0,2773.0,1.01
K55107BU0252,0.059,0.029,0.006,0.115,0.0,0.0,8294.0,2903.0,1.0
K55107BU0237,0.316,0.346,-0.35,0.945,0.004,0.004,9074.0,2857.0,1.0
K55206BW7669,0.086,0.143,-0.183,0.354,0.002,0.002,8073.0,2550.0,1.0
K55303BT4135,0.345,0.33,-0.27,0.977,0.004,0.004,8164.0,2887.0,1.0
K55232BU5739,-0.024,0.085,-0.172,0.139,0.001,0.001,8490.0,3086.0,1.0
K55301BU5453,0.088,0.085,-0.067,0.258,0.001,0.001,9557.0,2856.0,1.0
K55101BX0164,0.404,0.505,-0.56,1.334,0.005,0.007,8568.0,2514.0,1.0
K55303BT4176,0.345,0.398,-0.392,1.107,0.004,0.005,9674.0,3137.0,1.0
K55101BZ1079,0.146,0.151,-0.142,0.423,0.002,0.002,9257.0,2630.0,1.0
KR5101AT3563,0.01,0.046,-0.08,0.096,0.0,0.001,9349.0,3011.0,1.0
K55207BU0699,0.027,0.056,-0.078,0.129,0.001,0.001,8805.0,2448.0,1.0
K55223BW3824,0.066,0.153,-0.213,0.366,0.002,0.003,8517.0,2811.0,1.0
K55206C11278,0.071,0.028,0.02,0.123,0.0,0.0,10980.0,2781.0,1.0
K55102C00306,0.425,0.331,-0.14,1.075,0.003,0.004,9518.0,2862.0,1.0
K55102C00520,0.074,0.484,-0.804,1.006,0.005,0.008,8103.0,3021.0,1.0
KR5101AU0509,0.024,0.069,-0.104,0.151,0.001,0.001,8818.0,2933.0,1.0
K55234BY9966,0.365,0.232,-0.075,0.796,0.002,0.002,10964.0,2558.0,1.0
