ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
KR5102314204,0.066,0.062,-0.045,0.183,0.001,0.001,10311.0,2345.0,1.01
KR5102314352,0.058,0.06,-0.053,0.169,0.001,0.001,9759.0,2857.0,1.0
KR5102314212,0.1,0.259,-0.394,0.571,0.003,0.005,9309.0,2717.0,1.0
KR5101753360,0.182,0.253,-0.299,0.673,0.002,0.004,10647.0,2713.0,1.0
KR5234769887,0.072,0.361,-0.599,0.747,0.004,0.006,8425.0,2838.0,1.0
KR5101888398,0.088,0.03,0.035,0.148,0.0,0.0,9180.0,2263.0,1.0
KR5209950314,0.224,0.196,-0.152,0.586,0.002,0.002,8975.0,2404.0,1.0
KR5225A89035,0.16,0.138,-0.1,0.422,0.002,0.002,8131.0,2362.0,1.0
KR5102A54345,0.171,0.369,-0.529,0.854,0.004,0.006,9337.0,2956.0,1.0
KR5364AH9467,0.394,0.184,0.049,0.729,0.002,0.002,8872.0,2992.0,1.0
KR5235AK9691,0.289,0.181,-0.037,0.633,0.002,0.002,10300.0,2254.0,1.0
KR5213AI2357,0.201,0.18,-0.138,0.545,0.002,0.002,10206.0,2750.0,1.0
KR5301AK5995,0.129,0.118,-0.086,0.345,0.001,0.001,9464.0,2919.0,1.0
KR5303AL4276,0.141,0.158,-0.16,0.431,0.002,0.002,9709.0,2667.0,1.0
KR5235A52511,0.289,0.167,-0.015,0.617,0.002,0.002,9514.0,2629.0,1.0
KR5236AN0936,0.199,0.172,-0.12,0.518,0.002,0.002,10566.0,2658.0,1.0
KR5235A52578,-0.041,0.232,-0.482,0.372,0.002,0.004,10078.0,2546.0,1.0
KR5235AK9774,0.058,0.325,-0.545,0.675,0.003,0.005,9250.0,3091.0,1.0
KR5301AL4401,0.238,0.322,-0.341,0.854,0.003,0.005,9418.0,2808.0,1.0
KR5301AK6274,0.22,0.202,-0.151,0.599,0.002,0.002,10858.0,2626.0,1.0
KR5370AP9956,0.067,0.081,-0.078,0.228,0.001,0.001,8496.0,2520.0,1.0
KR5365AJ4440,0.136,0.241,-0.305,0.607,0.003,0.004,8764.0,2601.0,1.0
KR5230AR3486,0.174,0.138,-0.086,0.435,0.001,0.002,9489.0,2804.0,1.0
KR5235AK9808,0.237,0.081,0.086,0.386,0.001,0.001,9211.0,2970.0,1.0
KR5236AS4826,0.103,0.072,-0.037,0.232,0.001,0.001,8763.0,3071.0,1.0
KR5105AH6400,0.03,0.247,-0.417,0.498,0.002,0.005,10193.0,2979.0,1.0
KR5235A52487,0.331,0.263,-0.142,0.836,0.003,0.003,8499.0,2671.0,1.0
KR5301AT1938,0.196,0.245,-0.253,0.664,0.002,0.003,10544.0,2201.0,1.0
KR5301AT1987,0.036,0.069,-0.094,0.165,0.001,0.001,10358.0,2916.0,1.0
KR5232AT9794,0.019,0.081,-0.137,0.165,0.001,0.001,10241.0,2981.0,1.0
KR5207AW8081,0.049,0.049,-0.042,0.14,0.001,0.001,8987.0,3025.0,1.0
K55105B00871,-0.029,0.287,-0.568,0.506,0.003,0.006,10674.0,2755.0,1.0
KR5101AT3522,0.091,0.185,-0.247,0.447,0.002,0.003,8482.0,2884.0,1.0
K55235B04308,0.217,0.147,-0.061,0.487,0.001,0.001,9969.0,3024.0,1.0
K55235B40039,0.643,0.297,0.063,1.195,0.003,0.003,8086.0,2138.0,1.0
K55301B47299,0.145,0.246,-0.301,0.59,0.002,0.004,10115.0,3130.0,1.0
K55301B51572,0.304,0.143,0.03,0.571,0.002,0.001,8368.0,2859.0,1.0
K55301B58643,0.674,0.41,-0.106,1.436,0.004,0.004,9676.0,2469.0,1.0
K55301B09117,-0.141,0.251,-0.605,0.326,0.002,0.004,10655.0,3187.0,1.0
K55301BA7040,0.329,0.143,0.044,0.582,0.002,0.001,8727.0,3042.0,1.0
K55235B96163,0.45,0.231,0.012,0.877,0.002,0.002,9058.0,2847.0,1.0
K55101BD5217,0.314,0.189,-0.035,0.662,0.002,0.002,8367.0,2546.0,1.0
K55363BC7076,0.095,0.048,0.002,0.183,0.0,0.0,10145.0,2194.0,1.0
K55307BC6945,0.268,0.285,-0.265,0.818,0.003,0.004,9558.0,2422.0,1.0
K55236BG3001,0.133,0.063,0.022,0.256,0.001,0.001,8290.0,2789.0,1.0
K55105BG6945,0.13,0.225,-0.294,0.555,0.002,0.003,8250.0,2542.0,1.0
K55105BG6960,0.136,0.201,-0.251,0.51,0.002,0.003,8623.0,2925.0,1.0
K55209BG6221,0.128,0.17,-0.202,0.435,0.002,0.003,7652.0,2679.0,1.0
K55236BG3274,0.079,0.193,-0.273,0.448,0.002,0.003,9395.0,2725.0,1.0
K55105BG6820,0.065,0.051,-0.03,0.159,0.001,0.001,7826.0,3102.0,1.0
KR5101AT3589,0.145,0.12,-0.077,0.376,0.001,0.001,9041.0,2595.0,1.0
K55105BH1010,0.15,0.146,-0.113,0.43,0.001,0.002,9916.0,2997.0,1.0
K55102BJ9261,0.152,0.098,-0.04,0.333,0.001,0.001,9447.0,2925.0,1.0
K55301BM8051,0.14,0.084,-0.025,0.289,0.001,0.001,10278.0,2890.0,1.0
K55301BM7459,0.233,0.131,-0.001,0.496,0.001,0.001,9199.0,3329.0,1.0
K55301BM7640,0.217,0.123,-0.021,0.434,0.001,0.001,7989.0,2716.0,1.0
K55301BM7574,0.239,0.14,-0.021,0.498,0.001,0.001,9303.0,2715.0,1.0
K55301BM7731,0.178,0.097,0.001,0.362,0.001,0.001,8694.0,2972.0,1.0
K55306BO8724,0.359,0.249,-0.123,0.794,0.003,0.003,9532.0,2959.0,1.0
K55236BG3266,0.044,0.031,-0.018,0.099,0.0,0.0,9192.0,2617.0,1.0
K55214B30803,0.07,0.029,0.013,0.124,0.0,0.0,9918.0,2780.0,1.0
K55223BT1096,0.114,0.085,-0.044,0.276,0.001,0.001,9727.0,2990.0,1.0
K55105BS5067,0.13,0.125,-0.099,0.37,0.001,0.002,8392.0,2725.0,1.0
K55105BS5059,0.14,0.131,-0.1,0.388,0.001,0.002,8165.0,3224.0,1.0
K55223BT1450,0.174,0.103,-0.02,0.372,0.001,0.001,9162.0,2471.0,1.0
K55223BT1922,0.213,0.124,-0.016,0.455,0.001,0.001,9283.0,2719.0,1.01
K55228BT5076,-0.032,0.112,-0.244,0.177,0.001,0.002,7674.0,2958.0,1.0
K55105BS2072,0.096,0.103,-0.096,0.292,0.001,0.001,9421.0,2487.0,1.0
K55207BT6277,0.197,0.222,-0.214,0.617,0.003,0.003,7674.0,2698.0,1.0
K55223BT1278,0.138,0.092,-0.04,0.306,0.001,0.001,8934.0,3067.0,1.01
K55223BT1757,0.193,0.11,-0.021,0.397,0.001,0.001,8681.0,2826.0,1.0
K55210BU2450,0.191,0.107,0.002,0.398,0.001,0.001,9131.0,2971.0,1.0
K55301BU4175,0.046,0.023,0.004,0.087,0.0,0.0,8418.0,2929.0,1.0
K55210BU2435,0.188,0.106,-0.011,0.386,0.001,0.001,8708.0,2638.0,1.0
K55301BV3002,0.164,0.178,-0.158,0.512,0.002,0.002,9325.0,2547.0,1.0
K55209BT8966,0.085,0.05,-0.004,0.179,0.001,0.0,9460.0,2789.0,1.0
KR5101AT3548,-0.059,0.15,-0.348,0.214,0.002,0.003,8001.0,2337.0,1.0
K55229BT3864,0.044,0.022,0.002,0.084,0.0,0.0,9043.0,2496.0,1.0
K55301BU3011,0.003,0.085,-0.151,0.167,0.001,0.002,8645.0,2534.0,1.0
K55105BH0889,0.029,0.027,-0.024,0.076,0.0,0.0,8857.0,2768.0,1.0
K55105BH0970,0.121,0.121,-0.113,0.341,0.001,0.001,9366.0,2810.0,1.0
K55105BS8111,0.38,0.292,-0.17,0.938,0.003,0.003,7804.0,2603.0,1.0
K55105BS8129,0.581,0.263,0.078,1.059,0.003,0.002,10464.0,3150.0,1.0
K55101BT7397,0.179,0.136,-0.068,0.435,0.001,0.002,9171.0,2812.0,1.0
K55301BU6253,0.244,0.136,-0.015,0.495,0.001,0.001,9592.0,2782.0,1.0
K55105BU1161,0.098,0.105,-0.091,0.301,0.001,0.001,8666.0,2784.0,1.0
K55210BU2385,0.122,0.087,-0.037,0.292,0.001,0.001,9469.0,2544.0,1.0
K55301BV3085,0.099,0.093,-0.071,0.28,0.001,0.001,7691.0,2609.0,1.0
KR5223AE3357,0.085,0.203,-0.328,0.442,0.002,0.003,9866.0,2846.0,1.0
K55370BU1755,0.423,0.285,-0.071,0.982,0.003,0.003,9036.0,2652.0,1.0
K55301BU5479,0.248,0.141,-0.006,0.522,0.002,0.001,8873.0,3142.0,1.0
K55207BU0715,0.202,0.233,-0.231,0.632,0.003,0.003,8615.0,2813.0,1.0
K55365BT3694,0.278,0.212,-0.122,0.664,0.002,0.002,8734.0,2698.0,1.0
K55370BU1979,0.037,0.067,-0.084,0.17,0.001,0.001,10159.0,3177.0,1.0
K55207BU0681,0.04,0.057,-0.066,0.147,0.001,0.001,8799.0,3051.0,1.0
K55301BU6113,0.183,0.103,-0.004,0.383,0.001,0.001,10668.0,2604.0,1.0
K55210BT8575,0.031,0.059,-0.081,0.138,0.001,0.001,9045.0,2940.0,1.0
K55105BT9936,0.125,0.119,-0.095,0.35,0.001,0.002,9451.0,2815.0,1.0
