group,ticker,date,price,price_after_fees
2025,K55213C51262,2018-04-30,1008.7304259976428,1007.4216258464653
2025,K55213C51262,2018-05-31,1013.370585957232,1012.0617858060546
2025,K55213C51262,2018-06-30,1028.1800095239098,1026.8712093727324
2025,K55213C51262,2018-07-31,1043.229006566762,1040.5666452992368
2025,K55213C51262,2018-08-31,1043.632498737161,1040.9701374696358
2025,K55213C51262,2018-09-30,1042.0490976442316,1039.3867363767063
2025,K55213C51262,2018-10-31,989.362801818488,985.416769362688
2025,K55213C51262,2018-11-30,991.7837548408824,987.8377223850823
2025,K55213C51262,2018-12-31,949.9214421619802,945.9754097061801
2025,K55213C51262,2019-01-31,999.0466139080654,993.8043457825393
2025,K55213C51262,2019-02-28,1026.6858275804009,1021.4435594548747
2025,K55213C51262,2019-03-31,1036.861395752652,1031.6191276271259
2025,K55213C51262,2019-04-30,1062.3948846607173,1057.152616535191
2025,K55213C51262,2019-05-31,1047.2639282707528,1040.6451316971936
2025,K55213C51262,2019-06-30,1068.4625510110366,1061.8437544374774
2025,K55213C51262,2019-07-31,1085.8983035864624,1079.2795070129032
2025,K55213C51262,2019-08-31,1080.207111602366,1072.1801769461551
2025,K55213C51262,2019-09-30,1091.0428287590505,1083.0158941028396
2025,K55213C51262,2019-10-31,1090.0340983330527,1082.0071636768419
2025,K55213C51262,2019-11-30,1109.9344582684375,1100.490621081666
2025,K55213C51262,2019-12-31,1123.322202390975,1113.8783652042034
2025,K55213C51262,2020-01-31,1138.25141269574,1128.8075755089685
2025,K55213C51262,2020-02-29,1129.6519858141103,1118.7319015196767
2025,K55213C51262,2020-03-31,997.533518269069,986.6134339746354
2025,K55213C51262,2020-04-30,1054.953816551608,1044.0337322571745
2025,K55213C51262,2020-05-31,1096.8493332736994,1084.551160948085
2025,K55213C51262,2020-06-30,1100.7266408486278,1088.4284685230134
2025,K55213C51262,2020-07-31,1146.4221291463211,1134.1239568207068
2025,K55213C51262,2020-08-31,1171.0351515406635,1157.2443770813506
2025,K55213C51262,2020-09-30,1132.299903182354,1118.5091287230412
2025,K55213C51262,2020-10-31,1125.3266473665058,1111.535872907193
2025,K55213C51262,2020-11-30,1188.4861879104226,1173.2216749273323
2025,K55213C51262,2020-12-31,1215.2175441993602,1199.95303121627
2025,K55213C51262,2021-01-31,1254.39951603204,1239.1350030489498
2025,K55213C51262,2021-02-28,1264.2693537326459,1247.374861041279
2025,K55213C51262,2021-03-31,1266.259303754841,1249.3648110634742
2025,K55213C51262,2021-04-30,1288.8548652971883,1271.9603726058215
2025,K55213C51262,2021-05-31,1295.1089939383735,1276.5401532136054
2025,K55213C51262,2021-06-30,1314.7792372453275,1296.2103965205595
2025,K55213C51262,2021-07-31,1321.383269253031,1302.8144285282629
2025,K55213C51262,2021-08-31,1338.4844022562722,1318.1953768628082
