ticker,date,price,price_after_fees
K55234DF2657,2021-04-30,1009.8,1008.8
K55234DF2657,2021-05-31,1017.7,1016.7
K55234DF2657,2021-06-30,1031.9,1030.9
K55234DF2657,2021-07-31,1047.5,1045.4
K55234DF2657,2021-08-31,1063.7,1061.6
K55234DF2657,2021-09-30,1049.1,1047.0
K55234DF2657,2021-10-31,1062.2,1059.0
K55234DF2657,2021-11-30,1063.2,1060.0
K55234DF2657,2021-12-31,1078.1,1074.9
K55234DF2657,2022-01-31,1037.0,1032.7
K55234DF2657,2022-02-28,1022.5,1018.2
K55234DF2657,2022-03-31,1039.8,1035.5
K55234DF2657,2022-04-30,1003.1,998.8
K55234DF2657,2022-05-31,996.7,991.4
K55234DF2657,2022-06-30,961.3,956.0
K55234DF2657,2022-07-31,988.9,983.6
K55234DF2657,2022-08-31,991.8,985.5
K55234DF2657,2022-09-30,958.9,952.6
K55234DF2657,2022-10-31,960.9,954.6
K55234DF2657,2022-11-30,969.4,962.1
K55234DF2657,2022-12-31,936.9,929.6
K55234DF2657,2023-01-31,973.4,966.1
K55234DF2657,2023-02-28,973.4,965.1
K55234DF2657,2023-03-31,983.4,975.1
K55234DF2657,2023-04-30,1003.6,995.4
K55234DF2657,2023-05-31,999.7,990.4
K55234DF2657,2023-06-30,1014.4,1005.1
K55234DF2657,2023-07-31,1010.2,1000.9
K55234DF2657,2023-08-31,1015.9,1005.6
K55234DF2657,2023-09-30,994.8,984.5
K55234DF2657,2023-10-31,968.3,958.0
K55234DF2657,2023-11-30,1007.8,996.5
K55234DF2657,2023-12-31,1049.6,1038.3
K55234DF2657,2024-01-31,1059.1,1047.8
K55234DF2657,2024-02-29,1065.2,1052.8
K55234DF2657,2024-03-31,1088.6,1076.2
K55234DF2657,2024-04-30,1075.3,1062.9
K55234DF2657,2024-05-31,1090.4,1076.9
K55234DF2657,2024-06-30,1110.5,1097.0
K55234DF2657,2024-07-31,1119.4,1105.9
K55234DF2657,2024-08-31,1128.2,1113.5
K55234DF2657,2024-09-30,1142.9,1128.2
K55234DF2657,2024-10-31,1146.0,1131.3
K55234DF2657,2024-11-30,1153.2,1137.4
K55234DF2657,2024-12-31,1162.6,1146.8
