ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
KR5101888398,0.079,0.027,0.029,0.131,0.0,0.0,8872.0,2719.0,1.0
KR5370AP9956,0.044,0.087,-0.107,0.214,0.001,0.001,9362.0,2617.0,1.0
KR5236AS4826,0.081,0.076,-0.07,0.221,0.001,0.001,7581.0,2640.0,1.0
K55105BH1010,0.104,0.151,-0.167,0.393,0.002,0.002,8777.0,3110.0,1.0
K55301BM7640,0.208,0.13,-0.029,0.46,0.002,0.001,7049.0,2868.0,1.0
K55301BM7731,0.169,0.102,-0.027,0.353,0.001,0.001,7094.0,2920.0,1.0
K55301BM8051,0.13,0.087,-0.038,0.295,0.001,0.001,7986.0,2820.0,1.0
K55301BM7459,0.223,0.136,-0.026,0.489,0.002,0.001,5929.0,2461.0,1.0
K55223BT1450,0.156,0.101,-0.045,0.339,0.001,0.001,8396.0,3172.0,1.0
K55105BS5067,0.11,0.128,-0.137,0.343,0.001,0.002,9814.0,2745.0,1.0
K55223BT1922,0.2,0.125,-0.016,0.447,0.001,0.001,9914.0,3079.0,1.01
K55105BS2072,0.082,0.109,-0.12,0.285,0.001,0.002,7461.0,2541.0,1.0
K55223BT1278,0.127,0.094,-0.047,0.308,0.001,0.001,7584.0,2989.0,1.0
K55223BT1096,0.104,0.086,-0.054,0.263,0.001,0.001,8672.0,2684.0,1.0
K55223BT1757,0.179,0.114,-0.032,0.395,0.001,0.001,9110.0,2836.0,1.0
K55101BT4444,0.164,0.143,-0.096,0.445,0.002,0.002,6821.0,2824.0,1.0
K55101BT4428,0.148,0.138,-0.092,0.426,0.002,0.002,7306.0,3087.0,1.0
K55105BT9910,0.125,0.14,-0.153,0.376,0.002,0.002,8672.0,2917.0,1.0
K55101BT4394,0.13,0.126,-0.097,0.369,0.002,0.002,6951.0,2343.0,1.0
K55105BT9936,0.107,0.122,-0.13,0.33,0.001,0.002,9106.0,2778.0,1.0
K55101BT4402,0.131,0.128,-0.118,0.359,0.001,0.001,9045.0,2702.0,1.0
K55301BU6113,0.173,0.108,-0.036,0.376,0.001,0.001,8162.0,2775.0,1.0
K55210BU2419,0.168,0.11,-0.025,0.387,0.001,0.001,8539.0,3186.0,1.0
K55370BU1979,0.02,0.07,-0.107,0.158,0.001,0.001,9084.0,2670.0,1.0
K55210BU2385,0.108,0.091,-0.071,0.27,0.001,0.001,7729.0,2579.0,1.0
K55210BU2435,0.171,0.113,-0.038,0.381,0.001,0.001,8210.0,2990.0,1.0
K55101BT7397,0.161,0.14,-0.107,0.421,0.002,0.002,8678.0,2423.0,1.0
K55301BU6253,0.232,0.141,-0.018,0.524,0.001,0.001,9076.0,3092.0,1.0
K55105BU1161,0.086,0.111,-0.131,0.292,0.001,0.001,9083.0,3159.0,1.0
K55301BU5479,0.231,0.146,-0.058,0.487,0.002,0.002,5932.0,2732.0,1.0
K55207BU0715,0.21,0.237,-0.27,0.626,0.002,0.003,9006.0,2595.0,1.0
K55365BT3694,0.249,0.218,-0.178,0.651,0.002,0.002,9429.0,2858.0,1.0
KR5223AE3357,0.087,0.199,-0.313,0.44,0.002,0.003,8009.0,2708.0,1.0
K55210BU2450,0.174,0.11,-0.043,0.367,0.001,0.001,10186.0,2677.0,1.0
K55235BW6799,0.22,0.311,-0.372,0.793,0.003,0.004,9359.0,2921.0,1.0
K55301BU6139,0.214,0.126,-0.017,0.446,0.001,0.001,8210.0,3034.0,1.0
K55301BU5453,0.095,0.088,-0.066,0.259,0.001,0.001,9717.0,3067.0,1.0
K55303BT4176,0.353,0.403,-0.424,1.103,0.005,0.005,7871.0,2812.0,1.0
K55234BY9966,0.377,0.227,-0.041,0.813,0.003,0.002,7486.0,2791.0,1.0
K55213C51049,0.148,0.121,-0.078,0.371,0.001,0.001,8331.0,2884.0,1.0
K55203C53681,0.267,0.262,-0.218,0.762,0.003,0.003,6607.0,2297.0,1.0
K55213C51262,0.116,0.115,-0.096,0.328,0.001,0.001,8221.0,3353.0,1.0
K55213C50702,0.206,0.126,-0.029,0.445,0.001,0.001,7716.0,2724.0,1.0
K55213C51718,0.181,0.12,-0.035,0.421,0.001,0.001,6810.0,2764.0,1.0
K55213C51064,0.152,0.115,-0.067,0.373,0.001,0.001,7743.0,2979.0,1.0
K55213C51890,0.196,0.127,-0.058,0.428,0.001,0.001,8778.0,2664.0,1.0
K55206C96311,0.15,0.134,-0.109,0.393,0.001,0.002,8847.0,2857.0,1.0
K55206C95800,0.146,0.133,-0.107,0.397,0.002,0.002,7602.0,2854.0,1.0
K55206C96121,0.164,0.129,-0.087,0.401,0.001,0.001,8691.0,2815.0,1.0
K55206C95974,0.158,0.132,-0.095,0.395,0.002,0.001,7354.0,2740.0,1.0
K55234CJ0997,0.022,0.136,-0.235,0.275,0.002,0.002,7801.0,3036.0,1.0
K55105CK1592,0.05,0.079,-0.091,0.206,0.001,0.001,9162.0,2965.0,1.0
K55210CO3828,0.128,0.06,0.019,0.243,0.001,0.001,7001.0,2587.0,1.0
