ticker,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
K55364CF7048,0.224,0.091,0.053,0.392,0.001,0.001,7082.0,2998.0,1.0
K55101BY3944,0.007,0.041,-0.074,0.084,0.0,0.001,8089.0,2962.0,1.0
K55306CV9946,-0.07,0.06,-0.189,0.039,0.001,0.001,8671.0,3001.0,1.0
K55101CU1644,0.063,0.068,-0.065,0.192,0.001,0.001,6640.0,2750.0,1.0
K55301D51370,0.099,0.026,0.051,0.15,0.0,0.0,5050.0,2502.0,1.0
K55234DF2459,0.112,0.013,0.086,0.138,0.0,0.0,4379.0,2496.0,1.0
K55234DF2988,0.187,0.019,0.149,0.22,0.0,0.0,4485.0,2279.0,1.0
K55234DF3150,0.213,0.02,0.176,0.25,0.0,0.0,4470.0,2779.0,1.0
K55234DF3317,0.234,0.022,0.19,0.275,0.0,0.0,4488.0,2636.0,1.0
K55234DF2822,0.152,0.016,0.121,0.182,0.0,0.0,4639.0,2394.0,1.0
K55234DF2657,0.064,0.012,0.041,0.087,0.0,0.0,4862.0,2519.0,1.0
K55101BD5217,0.283,0.196,-0.063,0.664,0.002,0.002,9347.0,2798.0,1.0
K55101BX0164,0.428,0.495,-0.508,1.338,0.006,0.007,7344.0,2493.0,1.0
K55101BZ1079,0.145,0.154,-0.146,0.438,0.002,0.002,8544.0,2801.0,1.0
K55101CH6269,0.063,0.042,-0.019,0.141,0.0,0.0,7159.0,2832.0,1.0
K55101D20676,0.139,0.107,-0.059,0.35,0.001,0.001,6786.0,2423.0,1.0
K55101D20874,0.414,0.077,0.268,0.556,0.001,0.001,7014.0,2882.0,1.0
K55102BJ9261,0.126,0.097,-0.059,0.308,0.001,0.001,8256.0,2913.0,1.0
K55102BT2108,0.042,0.021,0.002,0.082,0.0,0.0,7709.0,3009.0,1.0
K55102BT2124,0.038,0.02,0.001,0.075,0.0,0.0,7711.0,2650.0,1.0
K55102BT6562,0.005,0.159,-0.319,0.288,0.002,0.003,8142.0,2546.0,1.0
K55102C00306,0.425,0.325,-0.185,1.034,0.004,0.004,7200.0,3036.0,1.0
K55102C00520,0.097,0.489,-0.873,0.988,0.005,0.008,9272.0,3146.0,1.0
K55102C13374,-0.004,0.061,-0.109,0.117,0.001,0.001,8869.0,3138.0,1.0
K55102C83120,0.294,0.384,-0.404,1.077,0.004,0.005,9255.0,2656.0,1.0
K55102D26937,-0.178,0.055,-0.281,-0.079,0.001,0.001,6569.0,2783.0,1.0
K55105B00871,-0.063,0.304,-0.616,0.518,0.003,0.005,11335.0,3108.0,1.0
K55105BG6820,0.046,0.049,-0.045,0.14,0.001,0.001,8228.0,2763.0,1.0
K55105BG6945,0.115,0.222,-0.293,0.546,0.003,0.004,7415.0,2764.0,1.0
K55105BG6960,0.128,0.204,-0.254,0.516,0.002,0.003,8339.0,2656.0,1.0
K55105BH0889,0.009,0.027,-0.041,0.059,0.0,0.0,7515.0,2383.0,1.0
K55105BH0970,0.102,0.123,-0.123,0.335,0.001,0.002,8233.0,3135.0,1.0
K55105BS8111,0.368,0.308,-0.224,0.92,0.003,0.004,8677.0,2504.0,1.0
K55105BS8129,0.561,0.276,0.064,1.088,0.003,0.003,9491.0,2982.0,1.0
K55105DF9781,0.026,0.069,-0.103,0.154,0.001,0.001,5700.0,2968.0,1.0
K55105DK2722,0.074,0.208,-0.306,0.46,0.004,0.004,3697.0,2087.0,1.0
K55105DK2888,0.322,0.269,-0.178,0.822,0.005,0.004,3455.0,2354.0,1.0
K55105DN1572,0.328,0.223,-0.077,0.759,0.004,0.003,3373.0,1898.0,1.0
K55105DN1770,0.582,0.228,0.165,1.008,0.005,0.003,3465.0,2007.0,1.0
K55107BU0237,0.331,0.363,-0.312,1.053,0.004,0.004,8329.0,2680.0,1.0
K55107BU0252,0.058,0.028,0.004,0.11,0.0,0.0,8214.0,2541.0,1.0
K55206BU2555,0.292,0.292,-0.278,0.808,0.003,0.003,8908.0,3035.0,1.0
K55206BW7669,0.091,0.14,-0.168,0.364,0.002,0.002,8337.0,2894.0,1.0
K55206C11278,0.07,0.027,0.023,0.125,0.0,0.0,8447.0,2864.0,1.0
K55206CQ7351,0.075,0.157,-0.225,0.371,0.002,0.002,7752.0,2889.0,1.0
K55207BT6277,0.208,0.235,-0.242,0.628,0.002,0.003,9532.0,2927.0,1.0
K55207BT8034,0.284,0.32,-0.324,0.88,0.004,0.005,7940.0,2516.0,1.0
K55207BU0699,0.028,0.056,-0.077,0.135,0.001,0.001,7510.0,2524.0,1.0
K55207D44267,-0.004,0.088,-0.172,0.163,0.001,0.002,5562.0,2692.0,1.0
K55209BG6221,0.121,0.193,-0.227,0.484,0.002,0.003,8401.0,2505.0,1.0
K55209BT8966,0.061,0.048,-0.032,0.148,0.001,0.001,7947.0,3190.0,1.0
K55210C28001,0.192,0.347,-0.445,0.856,0.005,0.005,6000.0,2880.0,1.0
K55210CY1002,0.038,0.029,-0.018,0.092,0.0,0.0,6697.0,2708.0,1.0
K55213C50546,0.072,0.103,-0.125,0.262,0.001,0.002,6778.0,2711.0,1.0
K55213C50686,0.204,0.123,-0.018,0.452,0.001,0.001,7617.0,2153.0,1.0
K55213C51874,0.197,0.126,-0.044,0.429,0.001,0.001,8375.0,2649.0,1.0
K55213DD7364,0.066,0.054,-0.041,0.171,0.001,0.001,4370.0,2271.0,1.0
K55214B25852,0.049,0.027,0.001,0.101,0.0,0.0,8218.0,2801.0,1.0
K55214B30803,0.062,0.027,0.011,0.112,0.0,0.0,7763.0,3111.0,1.0
K55214CD4809,0.058,0.038,-0.009,0.133,0.0,0.0,7607.0,2582.0,1.0
K55223BW3824,0.066,0.157,-0.234,0.349,0.002,0.002,8837.0,2725.0,1.0
K55223C05630,0.504,0.332,-0.077,1.161,0.004,0.003,8313.0,2996.0,1.0
K55223C89204,-0.097,0.531,-1.107,0.869,0.006,0.009,8815.0,2936.0,1.0
K55223CN9433,0.031,0.276,-0.486,0.552,0.003,0.005,10315.0,3054.0,1.0
K55223DF4961,-0.355,0.167,-0.704,-0.058,0.002,0.002,4935.0,2792.0,1.0
K55228BT5076,-0.051,0.118,-0.267,0.176,0.001,0.002,7730.0,2699.0,1.0
K55229BT3864,0.035,0.02,-0.005,0.072,0.0,0.0,8708.0,3078.0,1.0
K55229BX9378,0.158,0.16,-0.14,0.448,0.002,0.002,8040.0,2853.0,1.0
K55230D81030,0.097,0.071,-0.044,0.224,0.001,0.001,6439.0,3134.0,1.0
K55232BU5739,-0.024,0.084,-0.182,0.134,0.001,0.001,8865.0,2803.0,1.0
K55232C70312,0.086,0.36,-0.59,0.739,0.004,0.006,8266.0,2907.0,1.0
K55232C70460,0.012,0.113,-0.205,0.215,0.001,0.002,7213.0,2883.0,1.0
K55232C99568,0.316,0.303,-0.242,0.896,0.004,0.004,7604.0,3026.0,1.0
K55234CJ0971,0.014,0.132,-0.234,0.259,0.001,0.002,8287.0,2859.0,1.0
K55234DJ4477,-0.01,0.029,-0.063,0.043,0.001,0.001,3516.0,2102.0,1.0
K55235B04308,0.201,0.149,-0.086,0.477,0.002,0.002,8469.0,2508.0,1.0
K55235B40039,0.646,0.299,0.088,1.22,0.004,0.003,7201.0,2496.0,1.0
K55235B96163,0.438,0.247,-0.019,0.915,0.003,0.002,8951.0,2918.0,1.0
K55235CX1061,-0.146,0.023,-0.187,-0.103,0.0,0.0,7204.0,3060.0,1.0
K55236BG3001,0.112,0.066,-0.014,0.233,0.001,0.001,7229.0,2281.0,1.0
K55236BG3266,0.031,0.029,-0.022,0.084,0.0,0.0,9549.0,2849.0,1.0
K55236BG3274,0.057,0.205,-0.339,0.446,0.002,0.004,7970.0,2407.0,1.0
K55240CP8176,0.019,0.025,-0.025,0.066,0.0,0.0,10068.0,2970.0,1.0
K55301B09117,-0.185,0.243,-0.643,0.276,0.003,0.004,8020.0,2407.0,1.0
K55301B47299,0.108,0.258,-0.376,0.591,0.003,0.004,9113.0,2806.0,1.0
K55301B51572,0.285,0.147,0.013,0.563,0.002,0.001,9183.0,2871.0,1.0
K55301B58643,0.65,0.43,-0.129,1.466,0.005,0.004,7525.0,2760.0,1.0
K55301BU4175,0.036,0.022,-0.004,0.076,0.0,0.0,9356.0,2762.0,1.0
K55301BV3002,0.137,0.181,-0.205,0.459,0.002,0.002,8395.0,2798.0,1.0
K55301BV3044,0.097,0.123,-0.135,0.323,0.001,0.002,9600.0,2752.0,1.0
K55301BV3085,0.069,0.101,-0.116,0.268,0.001,0.001,7842.0,2724.0,1.0
K55301BV3101,0.027,0.072,-0.108,0.164,0.001,0.001,8328.0,2815.0,1.0
K55301BV3143,0.003,0.064,-0.118,0.123,0.001,0.001,8895.0,2819.0,1.0
K55301C62528,0.225,0.351,-0.43,0.869,0.004,0.005,8832.0,3302.0,1.0
K55301CH3249,0.056,0.013,0.032,0.079,0.0,0.0,8109.0,2938.0,1.0
K55301CQ5219,-0.227,0.129,-0.477,0.006,0.001,0.001,7927.0,2946.0,1.0
K55301CW6482,0.119,0.319,-0.471,0.727,0.004,0.005,8017.0,2953.0,1.0
K55303BT4135,0.363,0.346,-0.268,1.02,0.004,0.004,7888.0,2708.0,1.0
K55303CR9010,-0.047,0.098,-0.229,0.131,0.001,0.001,6947.0,3100.0,1.0
K55303D98245,-0.067,0.103,-0.265,0.125,0.001,0.001,5441.0,2905.0,1.0
K55306BT9453,0.078,0.448,-0.735,0.92,0.005,0.007,7915.0,2905.0,1.0
K55306BT9511,0.314,0.265,-0.17,0.825,0.003,0.003,7232.0,2756.0,1.0
K55306CW0001,-0.07,0.056,-0.172,0.036,0.001,0.001,7543.0,3053.0,1.0
K55307BC6945,0.243,0.287,-0.28,0.775,0.003,0.004,8724.0,2554.0,1.0
K55307D05134,0.453,0.159,0.159,0.758,0.002,0.002,6084.0,2837.0,1.0
K55307D06041,0.728,0.15,0.454,1.017,0.002,0.001,7855.0,2785.0,1.0
K55307D74510,0.057,0.081,-0.098,0.203,0.001,0.001,6178.0,2564.0,1.0
K55307DH1659,0.151,0.053,0.055,0.252,0.001,0.001,2867.0,2163.0,1.0
K55363BC7076,0.074,0.047,-0.011,0.166,0.0,0.0,10466.0,3058.0,1.0
K55363DD7958,0.019,0.081,-0.119,0.185,0.001,0.001,5562.0,2572.0,1.0
K55366BU9614,0.356,0.332,-0.275,0.97,0.004,0.004,8958.0,2886.0,1.0
K55366BU9705,0.375,0.583,-0.721,1.473,0.007,0.009,7822.0,2585.0,1.0
K55370BU1755,0.412,0.302,-0.13,1.005,0.003,0.003,7557.0,2849.0,1.0
KR5101AT3514,0.011,0.145,-0.261,0.283,0.002,0.002,8726.0,3295.0,1.0
KR5101AT3522,0.062,0.191,-0.289,0.427,0.002,0.003,8180.0,2936.0,1.01
KR5101AT3548,-0.104,0.152,-0.409,0.164,0.002,0.002,7387.0,2933.0,1.0
KR5101AT3563,0.008,0.047,-0.079,0.094,0.001,0.001,6726.0,2793.0,1.0
KR5101AT3571,0.178,0.176,-0.131,0.525,0.002,0.002,7156.0,3205.0,1.0
KR5101AT3589,0.126,0.118,-0.096,0.343,0.001,0.001,8386.0,3194.0,1.0
KR5101AU0509,0.026,0.069,-0.099,0.156,0.001,0.001,8700.0,2907.0,1.0
KR5102314204,0.038,0.063,-0.081,0.158,0.001,0.001,8087.0,2712.0,1.0
KR5102314212,0.059,0.268,-0.458,0.55,0.003,0.005,8437.0,2815.0,1.0
KR5102314352,0.033,0.062,-0.086,0.148,0.001,0.001,8650.0,2600.0,1.0
KR5102A54345,0.12,0.398,-0.666,0.812,0.005,0.007,7632.0,2945.0,1.0
KR5105AH6400,-0.012,0.248,-0.485,0.438,0.003,0.004,8138.0,2714.0,1.0
KR5213AI2357,0.169,0.184,-0.172,0.523,0.002,0.002,8724.0,3060.0,1.0
KR5230AR3486,0.14,0.141,-0.123,0.409,0.002,0.002,7950.0,2760.0,1.0
KR5235A52487,0.301,0.263,-0.185,0.79,0.003,0.003,7294.0,2781.0,1.0
KR5235A52511,0.273,0.176,-0.049,0.612,0.002,0.002,7855.0,2907.0,1.0
KR5235A52578,-0.062,0.235,-0.496,0.385,0.002,0.004,9227.0,2548.0,1.0
KR5235AK9691,0.285,0.181,-0.075,0.608,0.002,0.002,6795.0,2719.0,1.0
KR5235AK9774,0.052,0.336,-0.611,0.649,0.004,0.007,7793.0,2589.0,1.0
KR5235AK9808,0.226,0.08,0.074,0.373,0.001,0.001,8233.0,3111.0,1.0
KR5301AK5995,0.103,0.121,-0.114,0.333,0.001,0.002,8584.0,2821.0,1.0
KR5301AK6274,0.199,0.211,-0.194,0.59,0.002,0.003,8416.0,2767.0,1.0
KR5301AL4401,0.215,0.336,-0.435,0.807,0.004,0.005,7559.0,3202.0,1.0
KR5301AT1938,0.154,0.244,-0.315,0.607,0.003,0.004,8668.0,2804.0,1.0
KR5301AT1987,0.022,0.069,-0.11,0.152,0.001,0.001,6408.0,2769.0,1.0
KR5364AH9467,0.37,0.197,0.006,0.757,0.002,0.002,7411.0,2498.0,1.0
